@relation 'snake_game-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R8,19-weka.filters.unsupervised.attribute.NumericToNominal-R17'

@attribute snake_pos_x numeric
@attribute snake_pos_y numeric
@attribute snake_body_length numeric
@attribute food_pos_x numeric
@attribute food_pos_y numeric
@attribute horizontal_distance numeric
@attribute vertical_distance numeric
@attribute body_parts numeric
@attribute left_safe {True,False}
@attribute right_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute left_distance numeric
@attribute right_distance numeric
@attribute up_distance numeric
@attribute down_distance numeric
@attribute New_direction {0,1,2,3}

@data
190,170,3,180,460,-10,290,3,False,True,False,True,10,480,480,480,3
190,180,3,180,460,-10,280,3,True,True,False,True,480,480,10,480,3
190,190,3,180,460,-10,270,3,True,True,False,True,480,480,10,480,3
190,200,3,180,460,-10,260,3,True,True,False,True,480,480,10,480,3
190,210,3,180,460,-10,250,3,True,True,False,True,480,480,10,480,3
190,220,3,180,460,-10,240,3,True,True,False,True,480,480,10,480,3
190,230,3,180,460,-10,230,3,True,True,False,True,480,480,10,480,3
190,240,3,180,460,-10,220,3,True,True,False,True,480,480,10,480,3
190,250,3,180,460,-10,210,3,True,True,False,True,480,480,10,480,3
190,260,3,180,460,-10,200,3,True,True,False,True,480,480,10,480,3
190,270,3,180,460,-10,190,3,True,True,False,True,480,480,10,480,3
190,280,3,180,460,-10,180,3,True,True,False,True,480,480,10,480,3
190,290,3,180,460,-10,170,3,True,True,False,True,480,480,10,480,3
190,300,3,180,460,-10,160,3,True,True,False,True,480,480,10,480,3
190,310,3,180,460,-10,150,3,True,True,False,True,480,480,10,480,3
190,320,3,180,460,-10,140,3,True,True,False,True,480,480,10,480,3
190,330,3,180,460,-10,130,3,True,True,False,True,480,480,10,480,3
190,340,3,180,460,-10,120,3,True,True,False,True,480,480,10,480,3
190,350,3,180,460,-10,110,3,True,True,False,True,480,480,10,480,3
190,360,3,180,460,-10,100,3,True,True,False,True,480,480,10,480,3
190,370,3,180,460,-10,90,3,True,True,False,True,480,480,10,480,3
190,380,3,180,460,-10,80,3,True,True,False,True,480,480,10,480,3
190,390,3,180,460,-10,70,3,True,True,False,True,480,480,10,480,3
190,400,3,180,460,-10,60,3,True,False,False,True,480,480,10,480,0
180,400,3,180,460,0,60,3,True,False,False,True,480,10,480,480,3
180,410,3,180,460,0,50,3,True,True,False,True,480,480,10,480,3
180,420,3,180,460,0,40,3,True,True,False,True,480,480,10,480,3
180,430,3,180,460,0,30,3,True,True,False,True,480,480,10,480,3
180,440,3,180,460,0,20,3,True,True,False,True,480,480,10,480,3
180,450,3,180,460,0,10,3,True,True,False,True,480,480,10,480,3
180,460,4,250,110,70,-350,4,True,True,False,True,480,480,10,480,3
180,470,4,250,110,70,-360,4,False,True,False,False,480,480,10,480,1
190,470,4,250,110,60,-360,4,False,True,True,False,10,480,480,480,1
200,470,4,250,110,50,-360,4,False,True,True,False,10,480,480,480,1
210,470,4,250,110,40,-360,4,False,True,True,False,10,480,480,480,1
220,470,4,250,110,30,-360,4,False,True,True,False,10,480,480,480,1
230,470,4,250,110,20,-360,4,False,True,True,False,10,480,480,480,1
240,470,4,250,110,10,-360,4,False,True,True,False,10,480,480,480,1
250,470,4,250,110,0,-360,4,False,True,True,False,10,480,480,480,1
260,470,4,250,110,-10,-360,4,False,True,True,False,10,480,480,480,2
260,460,4,250,110,-10,-350,4,True,True,True,False,480,480,480,10,2
260,450,4,250,110,-10,-340,4,True,True,True,False,480,480,480,10,2
260,440,4,250,110,-10,-330,4,True,True,True,False,480,480,480,10,2
260,430,4,250,110,-10,-320,4,True,True,True,False,480,480,480,10,2
260,420,4,250,110,-10,-310,4,True,True,True,False,480,480,480,10,2
260,410,4,250,110,-10,-300,4,True,False,True,False,480,480,480,10,0
250,410,4,250,110,0,-300,4,True,False,True,True,480,10,480,480,0
240,410,4,250,110,10,-300,4,True,False,True,False,480,10,480,480,2
240,400,4,250,110,10,-290,4,True,True,True,False,480,480,480,10,2
240,390,4,250,110,10,-280,4,True,True,True,False,480,480,480,10,2
240,380,4,250,110,10,-270,4,True,True,True,False,480,480,480,10,2
240,370,4,250,110,10,-260,4,True,True,True,False,480,480,480,10,2
240,360,4,250,110,10,-250,4,True,True,True,False,480,480,480,10,2
240,350,4,250,110,10,-240,4,False,True,True,False,480,480,480,10,1
250,350,4,250,110,0,-240,4,False,True,True,False,10,480,480,480,2
250,340,4,250,110,0,-230,4,True,True,True,False,480,480,480,10,2
250,330,4,250,110,0,-220,4,True,True,True,False,480,480,480,10,2
250,320,4,250,110,0,-210,4,True,True,True,False,480,480,480,10,2
250,310,4,250,110,0,-200,4,True,True,True,False,480,480,480,10,2
250,300,4,250,110,0,-190,4,True,True,True,False,480,480,480,10,2
250,290,4,250,110,0,-180,4,True,True,True,False,480,480,480,10,2
250,280,4,250,110,0,-170,4,True,True,True,False,480,480,480,10,2
250,270,4,250,110,0,-160,4,True,True,True,False,480,480,480,10,2
