@RELATION snake_game

@ATTRIBUTE snake_pos_x numeric
@ATTRIBUTE snake_pos_y numeric
@ATTRIBUTE snake_body_length numeric
@ATTRIBUTE food_pos_x numeric
@ATTRIBUTE food_pos_y numeric
@ATTRIBUTE horizontal_distance numeric
@ATTRIBUTE vertical_distance numeric
@ATTRIBUTE score numeric
@ATTRIBUTE left_safe numeric
@ATTRIBUTE right_safe numeric
@ATTRIBUTE up_safe numeric
@ATTRIBUTE down_safe numeric
@ATTRIBUTE left_distance numeric
@ATTRIBUTE right_distance numeric
@ATTRIBUTE up_distance numeric
@ATTRIBUTE down_distance numeric
@ATTRIBUTE food_in_row numeric
@ATTRIBUTE food_in_col numeric
@ATTRIBUTE food_in_up numeric
@ATTRIBUTE food_in_down numeric
@ATTRIBUTE food_in_left numeric
@ATTRIBUTE food_in_right numeric
@attribute New_direction {'0','1','2','3'}

@DATA
190,160,7,110,320,-80,160,240,1,0,1,1,480,10,480,480,0,1,0,1,1,0,0
180,160,7,110,320,-70,160,239,1,0,1,1,480,10,480,480,0,1,0,1,1,0,0
170,160,7,110,320,-60,160,238,1,0,1,1,480,10,480,480,0,1,0,1,1,0,0
160,160,7,110,320,-50,160,237,1,0,1,1,480,10,480,480,0,1,0,1,1,0,0
150,160,7,110,320,-40,160,236,1,0,1,1,480,10,480,480,0,1,0,1,1,0,0
140,160,7,110,320,-30,160,235,1,0,1,1,480,10,480,480,0,1,0,1,1,0,0
130,160,7,110,320,-20,160,234,1,0,0,1,480,10,480,480,0,1,0,1,1,0,3
130,170,7,110,320,-20,150,233,1,1,0,1,480,480,10,480,0,1,0,1,1,0,3
130,180,7,110,320,-20,140,232,1,1,0,1,480,480,10,480,0,1,0,1,1,0,3
130,190,7,110,320,-20,130,231,1,0,0,1,480,480,10,480,0,1,0,1,1,0,0
120,190,7,110,320,-10,130,230,1,0,1,1,480,10,480,480,0,1,0,1,1,0,0
110,190,7,110,320,0,130,229,1,0,1,1,480,10,480,480,0,1,0,1,0,0,0
100,190,7,110,320,10,130,228,1,0,0,1,480,10,480,480,1,1,0,1,0,1,3
100,200,7,110,320,10,120,227,1,1,0,1,480,480,10,480,1,1,0,1,0,1,3
100,210,7,110,320,10,110,226,1,1,0,1,480,480,10,480,1,1,0,1,0,1,3
100,220,7,110,320,10,100,225,1,1,0,1,480,480,10,480,1,1,0,1,0,1,3
100,230,7,110,320,10,90,224,0,1,0,1,480,480,10,480,1,1,0,1,0,1,1
110,230,7,110,320,0,90,223,0,1,0,1,10,480,40,480,0,1,0,1,0,0,3
110,240,7,110,320,0,80,222,1,1,0,1,480,480,10,480,0,1,0,1,0,0,3
110,250,7,110,320,0,70,221,1,1,0,1,480,480,10,480,0,1,0,1,0,0,3
110,260,7,110,320,0,60,220,1,1,0,1,480,480,10,480,0,1,0,1,0,0,3
110,270,7,110,320,0,50,219,1,1,0,1,480,480,10,480,0,1,0,1,0,0,3
110,280,7,110,320,0,40,218,1,1,0,1,480,480,10,480,0,1,0,1,0,0,3
110,290,7,110,320,0,30,217,1,1,0,1,480,480,10,480,0,1,0,1,0,0,3
110,300,7,110,320,0,20,216,1,1,0,1,480,480,10,480,0,1,0,1,0,0,3
110,310,7,110,320,0,10,215,1,1,0,1,480,480,10,480,0,1,0,1,0,0,3
110,320,8,450,90,340,-230,315,1,1,0,1,480,480,10,480,1,0,1,0,0,1,3
110,330,8,450,90,340,-240,314,1,1,0,1,480,480,10,480,1,0,1,0,0,1,3
110,340,8,450,90,340,-250,313,1,1,0,1,480,480,10,480,1,0,1,0,0,1,3
110,350,8,450,90,340,-260,312,0,1,0,1,480,480,10,480,1,0,1,0,0,1,1
120,350,8,450,90,330,-260,311,0,1,1,1,10,480,480,480,1,0,1,0,0,1,1
130,350,8,450,90,320,-260,310,0,1,1,0,10,480,480,480,1,0,1,0,0,1,2
130,340,8,450,90,320,-250,309,1,1,1,0,20,480,480,10,1,0,1,0,0,1,2
130,330,8,450,90,320,-240,308,1,1,1,0,20,480,480,10,1,0,1,0,0,1,2
130,320,8,450,90,320,-230,307,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,310,8,450,90,320,-220,306,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,300,8,450,90,320,-210,305,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
